按	a
阿	aa
锕	aaj
吖	aak
唔	agk
昂	ah
爱	ai
癌	aib
蔼	aic
隘	aie
捱	aif
锿	aij
哎	aik
嫒	ain
埃	ait
碍	aiu
哀	aiw
霭	aiy
案	an
案	ana
岸	ane
揞	anf
鞍	ang
黯	anh
铵	anj
唵	ank
桉	anm
胺	ano
氨	anq
埯	ant
谙	any
傲	ao
鳌	aoa
翱	aob
敖	aof
翱	aog
嗷	aok
鏖	aol
媪	aon
袄	aop
傲	aor
坳	aot
懊	aox
岙	aoy
遨	aoz
不	b
拔	ba
鲅	baa
疤	bab
芭	bac
灞	bad
岜	bae
扒	baf
靶	bag
钯	baj
叭	bak
耙	bal
粑	bam
八	bap
罢	bas
坝	bat
笆	bav
霸	bay
跋	baz
表	bc
鳔	bca
瘭	bcb
飚	bcf
彪	bch
镖	bcj
骠	bcm
婊	bcn
膘	bco
裱	bcp
飙	bcq
俵	bcr
本	bf
苯	bfc
坌	bff
贲	bfh
锛	bfj
畚	bfs
贲	bft
蹦	bg
甭	bgb
蚌	bgi
嘣	bgk
祊	bgp
绷	bgs
迸	bgz
帮	bh
帮	bhb
浜	bhd
邦	bhf
蚌	bhi
镑	bhj
棒	bhm
膀	bho
傍	bhr
磅	bhu
谤	bhy
比	bi
敝	bib
蔽	bic
必	bid
陛	bie
庇	big
秕	bih
铋	bij
鄙	bik
闭	bim
婢	bin
睥	bio
臂	bip
狴	biq
彼	bir
畀	bit
笔	biv
碧	biw
愎	bix
逼	biz
版	bj
瘢	bjb
阪	bje
扮	bjf
钣	bjj
办	bjl
板	bjm
伴	bjr
绊	bjs
坂	bjt
舨	bjv
班	bjw
瓣	bjx
报	bk
鲍	bka
堡	bkb
薄	bkc
瀑	bkd
抱	bkf
爆	bkh
龅	bki
剥	bkl
胞	bko
豹	bkp
保	bkr
饱	bku
豹	bkv
褒	bkw
雹	bky
孢	bkz
百	bl
败	blb
捭	blf
稗	blh
呗	blk
柏	blm
白	blp
佰	blr
拜	blu
边	bm
鳊	bma
贬	bmb
汴	bmd
鞭	bmg
扁	bmh
蝙	bmi
匾	bmk
褊	bmp
便	bmr
编	bms
砭	bmu
辩	bmx
变	bmy
遍	bmz
宾	bn
鬓	bna
濒	bnd
摈	bnf
髌	bng
镔	bnj
彬	bnl
彬	bnm
膑	bno
傧	bnr
缤	bns
斌	bnw
波	bo
勃	bob
薄	boc
泊	bod
搏	bof
钹	boj
啵	bok
剥	bol
驳	bom
脖	boo
伯	bor
博	bot
饽	bou
舶	bov
玻	bow
跛	boz
部	bu
卜	bua
捕	buf
钚	buj
哺	buk
晡	buo
补	bup
埠	but
簿	buv
怖	bux
醭	buy
逋	buz
别	bx
憋	bxb
并	by
丙	bya
病	byb
冰	byd
摒	byf
炳	byh
柄	bym
秉	byp
饼	byu
禀	byw
背	bz
北	bza
卑	bzb
蓓	bzc
陂	bze
悲	bzf
鞴	bzg
焙	bzh
贝	bzk
杯	bzm
鐾	bzp
狈	bzq
倍	bzr
碑	bzu
备	bzw
悖	bzx
次	c
擦	ca
嚓	cak
礤	cau
凑	cb
辏	cbi
楱	cbm
腠	cbo
侧	ce
厕	cei
册	cek
侧	cer
策	cev
恻	cex
岑	cf
涔	cfd
参	cfs
层	cg
噌	cgk
层	cgu
蹭	cgz
藏	ch
苍	chc
沧	chd
仓	chr
舱	chv
玱	chw
词	ci
刺	cia
赐	cib
雌	cic
呲	cik
糍	cim
祠	cip
伺	cir
辞	cis
磁	ciu
慈	ciz
参	cj
餐	cja
灿	cjh
骖	cjm
蚕	cjt
璨	cjw
惭	cjx
草	ck
曹	cka
漕	ckd
操	ckf
螬	cki
嘈	ckk
槽	ckm
肏	ckr
艚	ckv
才	cl
财	clb
菜	clc
材	clm
睬	clo
猜	clq
裁	clt
采	clv
踩	clz
错	co
鹾	coa
痤	cob
嵯	coe
挫	cof
厝	coi
锉	coj
鹾	col
脞	coo
磋	cou
蹉	coz
村	cp
吋	cpk
皴	cps
忖	cpx
窜	cr
撺	crf
镩	crj
爨	crp
汆	crr
篡	crv
蹿	crz
丛	cs
匆	csb
葱	csc
